ARRIVAL_DELAY,DELAY_LABEL
1,low
1,low
1,low
1,low
1,low
1,low
1,low
1,low
1,low
1,low
1,low
1,low
1,low
1,low
1,low
1,low
1,low
1,low
1,low
1,low
1,low
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
0,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-1,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-2,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-3,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-4,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-5,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-6,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-7,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-8,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
-9,ontime
